Index;Gemeinde_Nr;Gemeinde_Name;Bev_Hoch;Besch_Hoch;K1_Hoch;K2_Mittel;K3_Tief;;;K1;K2;K3
0;1;Aeugst am Albis;2208.815;492.83;59;35;19;;;516664;303920;166989
1;2;Affoltern am Albis;13717.845;7715.8;699;411;226;;;;;
2;3;Bonstetten;6212.78;1130.61;148;87;48;;;;;
3;4;Hausen am Albis;4182.365;1138.415;126;74;41;;;;;
4;5;Hedingen;4212.47;1647.97;163;96;53;;;;;
5;6;Kappel am Albis;1361.415;355.685;40;24;13;;;;;
6;7;Knonau;2651.47;631.09;74;43;24;;;;;
7;8;Maschwanden;719.175;195.125;22;13;7;;;;;
8;9;Mettmenstetten;5798;1873.2;196;115;63;;;;;
9;10;Obfelden;6378.915;1395.98;168;99;54;;;;;
10;11;Ottenbach;2885.62;761.545;85;50;28;;;;;
11;12;Rifferswil;1258.835;278.75;33;20;11;;;;;
12;13;Stallikon;4186.825;864.125;107;63;35;;;;;
13;14;Wettswil am Albis;5842.6;1451.73;167;98;54;;;;;
14;21;Adlikon;778.27;166.135;20;12;7;;;;;
15;22;Benken (ZH);942.175;277.635;30;18;10;;;;;
16;23;Berg am Irchel;643.355;152.755;18;10;6;;;;;
17;24;Buch am Irchel;1091.585;223;28;16;9;;;;;
18;25;Dachsen;2136.34;507.325;59;35;19;;;;;
19;26;Dorf;733.67;143.835;18;11;6;;;;;
20;27;Feuerthalen;4029.61;1298.975;136;80;44;;;;;
21;28;Flaach;1583.3;902.035;82;48;26;;;;;
22;29;Flurlingen;1646.855;0;18;10;6;;;;;
23;30;Andelfingen;2505.405;1729.365;151;89;49;;;;;
24;31;Henggart;2490.91;703.565;77;45;25;;;;;
25;32;Humlikon;540.775;166.135;18;10;6;;;;;
26;33;Kleinandelfingen;2312.51;1207.545;111;65;36;;;;;
27;34;Laufen-Uhwiesen;1963.515;526.28;59;35;19;;;;;
28;35;Marthalen;2138.57;1297.86;116;68;37;;;;;
29;37;Ossingen;1859.82;474.99;54;32;17;;;;;
30;38;Rheinau;1467.34;773.81;71;42;23;;;;;
31;39;Thalheim an der Thur;1045.87;285.44;32;19;10;;;;;
32;40;Trüllikon;1183.015;344.535;37;22;12;;;;;
33;41;Truttikon;516.245;130.455;15;9;5;;;;;
34;43;Volken;423.7;114.845;13;8;4;;;;;
35;51;Bachenbülach;4660.7;2060.52;197;116;64;;;;;
36;52;Bassersdorf;13183.76;5125.655;508;299;164;;;;;
37;53;Bülach;23829.78;12234.895;1131;665;365;;;;;
38;54;Dietlikon;8749.405;6475.92;557;328;180;;;;;
39;55;Eglisau;5952.985;1712.64;186;110;60;;;;;
40;56;Embrach;10504.415;4003.965;399;235;129;;;;;
41;57;Freienstein-Teufen;2663.735;770.465;84;49;27;;;;;
42;58;Glattfelden;5816.955;1230.96;151;89;49;;;;;
43;59;Hochfelden;2209.93;435.965;55;32;18;;;;;
44;60;Höri;3202.28;1411.59;135;80;44;;;;;
45;61;Hüntwangen;1178.555;391.365;41;24;13;;;;;
46;62;Kloten;22444.95;41704.345;3222;1895;1041;;;;;
47;63;Lufingen;2694.955;453.805;61;36;20;;;;;
48;64;Nürensdorf;6246.23;1149.565;149;88;48;;;;;
49;65;Oberembrach;1249.915;251.99;31;19;10;;;;;
50;66;Opfikon;23430.61;21436.99;1784;1049;577;;;;;
51;67;Rafz;5197.015;1519.745;165;97;53;;;;;
52;68;Rorbas;3216.775;515.13;71;42;23;;;;;
53;69;Wallisellen;18777.715;22662.375;1822;1071;589;;;;;
54;70;Wasterkingen;627.745;82.51;13;7;4;;;;;
55;71;Wil (ZH);1643.51;605.445;61;36;20;;;;;
56;72;Winkel;5056.525;1093.815;133;78;43;;;;;
57;81;Bachs;660.08;298.82;28;17;9;;;;;
58;82;Boppelsen;1596.68;354.57;43;25;14;;;;;
59;83;Buchs (ZH);7319.975;2594.605;264;155;85;;;;;
60;84;Dällikon;4657.355;3068.48;269;158;87;;;;;
61;85;Dänikon;2075.015;483.91;57;33;18;;;;;
62;86;Dielsdorf;6652.09;4872.55;420;247;136;;;;;
63;87;Hüttikon;1061.48;143.835;22;13;7;;;;;
64;88;Neerach;3540.125;714.715;89;52;29;;;;;
65;89;Niederglatt;5567.195;1558.77;171;101;55;;;;;
66;90;Niederhasli;10419.675;2793.075;312;183;101;;;;;
67;91;Niederweningen;3426.395;939.945;104;61;34;;;;;
68;92;Oberglatt;8059.22;1949.02;226;133;73;;;;;
69;93;Oberweningen;1995.85;262.025;40;24;13;;;;;
70;94;Otelfingen;3324.93;2659.275;226;133;73;;;;;
71;95;Regensberg;522.935;287.67;26;15;8;;;;;
72;96;Regensdorf;20672.1;12405.49;1109;652;358;;;;;
73;97;Rümlang;9179.795;6998.855;599;352;194;;;;;
74;98;Schleinikon;845.17;140.49;19;11;6;;;;;
75;99;Schöfflisdorf;1535.355;376.87;43;26;14;;;;;
76;100;Stadel;2556.695;554.155;67;39;22;;;;;
77;101;Steinmaur;4024.035;918.76;109;64;35;;;;;
78;102;Weiach;2121.845;323.35;46;27;15;;;;;
79;111;Bäretswil;5634.095;1836.405;192;113;62;;;;;
80;112;Bubikon;8188.56;4032.955;376;221;122;;;;;
81;113;Dürnten;8480.69;2047.14;238;140;77;;;;;
82;114;Fischenthal;2805.34;745.935;84;49;27;;;;;
83;115;Gossau (ZH);11462.2;2982.625;337;198;109;;;;;
84;116;Grüningen;4059.715;1996.965;186;110;60;;;;;
85;117;Hinwil;12573.855;7803.885;693;408;224;;;;;
86;118;Rüti (ZH);13698.89;5634.095;550;324;178;;;;;
87;119;Seegräben;1594.45;645.585;63;37;20;;;;;
88;120;Wald (ZH);11257.04;3857.9;397;233;128;;;;;
89;121;Wetzikon (ZH);27863.85;15791.745;1428;840;462;;;;;
90;131;Adliswil;21122.56;8370.305;826;486;267;;;;;
91;135;Kilchberg (ZH);9949.145;4601.605;436;256;141;;;;;
92;136;Langnau am Albis;8615.605;1709.295;215;126;69;;;;;
93;137;Oberrieden;5577.23;0;60;35;19;;;;;
94;138;Richterswil;15199.68;4786.695;506;297;163;;;;;
95;139;Rüschlikon;6792.58;3400.75;316;186;102;;;;;
96;141;Thalwil;20224.985;7338.93;742;437;240;;;;;
97;151;Erlenbach (ZH);6235.08;2156.41;221;130;72;;;;;
98;152;Herrliberg;7202.9;1575.495;190;112;61;;;;;
99;153;Hombrechtikon;9784.125;3244.65;337;198;109;;;;;
100;154;Küsnacht (ZH);16238.86;7137.115;685;403;221;;;;;
101;155;Männedorf;12665.285;5557.16;533;314;172;;;;;
102;156;Meilen;15983.525;6589.65;643;378;208;;;;;
103;157;Oetwil am See;5396.6;2567.845;242;142;78;;;;;
104;158;Stäfa;16410.57;6905.195;670;394;217;;;;;
105;159;Uetikon am See;6914.115;1650.2;192;113;62;;;;;
106;160;Zumikon;6116.89;0;66;39;21;;;;;
107;161;Zollikon;14569.705;6426.86;616;362;199;;;;;
108;172;Fehraltorf;7230.775;4762.165;418;246;135;;;;;
109;173;Hittnau;4085.36;873.045;106;63;34;;;;;
110;176;Lindau;6249.575;3124.23;291;171;94;;;;;
111;177;Pfäffikon;13562.86;6572.925;616;362;199;;;;;
112;178;Russikon;4898.195;1345.805;149;88;48;;;;;
113;180;Weisslingen;3750.86;987.89;111;65;36;;;;;
114;181;Wila;2204.355;685.725;73;43;24;;;;;
115;182;Wildberg;1098.275;270.945;31;18;10;;;;;
116;191;Dübendorf;32672.845;22415.96;1954;1149;631;;;;;
117;192;Egg;9807.54;2752.935;302;178;98;;;;;
118;193;Fällanden;9688.235;3284.79;339;199;110;;;;;
119;194;Greifensee;6004.275;1854.245;197;116;64;;;;;
120;195;Maur;11671.82;2466.38;302;178;98;;;;;
121;196;Mönchaltorf;4346.27;1516.4;155;91;50;;;;;
122;197;Schwerzenbach;5764.55;2950.29;273;161;88;;;;;
123;198;Uster;39032.805;19219.255;1794;1055;580;;;;;
124;199;Volketswil;20783.6;12480.195;1116;656;361;;;;;
125;200;Wangen-Brüttisellen;8883.205;6532.785;562;331;182;;;;;
126;211;Altikon;778.27;160.56;20;12;6;;;;;
127;213;Brütten;2304.705;432.62;56;33;18;;;;;
128;214;Dägerlen;1156.255;294.36;33;20;11;;;;;
129;215;Dättlikon;865.24;167.25;21;13;7;;;;;
130;216;Dinhard;1877.66;425.93;51;30;16;;;;;
131;218;Ellikon an der Thur;1004.615;662.31;58;34;19;;;;;
132;219;Elsau;4066.405;1172.98;128;75;41;;;;;
133;220;Hagenbuch;1209.775;218.54;29;17;9;;;;;
134;221;Hettlingen;3533.435;782.73;94;55;30;;;;;
135;223;Neftenbach;6375.57;1847.555;201;118;65;;;;;
136;224;Pfungen;4348.5;1561;158;93;51;;;;;
137;225;Rickenbach (ZH);3065.135;615.48;77;45;25;;;;;
138;226;Schlatt (ZH);879.735;170.595;22;13;7;;;;;
139;227;Seuzach;8295.6;2944.715;300;176;97;;;;;
140;228;Turbenthal;5444.545;1818.565;189;111;61;;;;;
141;230;Winterthur;126187.895;81772.985;7202;4236;2328;;;;;
142;231;Zell (ZH);7023.385;1645.74;193;114;62;;;;;
143;241;Aesch (ZH);1860.935;381.33;47;28;15;;;;;
144;242;Birmensdorf (ZH);7497.26;2896.77;288;169;93;;;;;
145;243;Dietikon;30936.79;21085.765;1840;1082;595;;;;;
146;244;Geroldswil;5501.41;0;59;35;19;;;;;
147;245;Oberengstringen;7512.87;1304.55;174;102;56;;;;;
148;246;Oetwil an der Limmat;2804.225;328.925;54;32;17;;;;;
149;247;Schlieren;20951.965;21123.675;1735;1021;561;;;;;
150;248;Uitikon;5204.82;1197.51;142;83;46;;;;;
151;249;Unterengstringen;4386.41;1115;127;75;41;;;;;
152;250;Urdorf;11128.815;7133.77;630;370;203;;;;;
153;251;Weiningen (ZH);5366.495;2427.355;231;136;75;;;;;
154;261;Zürich;468541.955;547680.195;44180;25988;14279;;;;;
155;292;Stammheim;3110.85;1389.29;133;78;43;;;;;
156;293;Wädenswil;27455.76;10871.25;1072;631;347;;;;;
157;294;Elgg;5510.33;1744.975;184;108;59;;;;;
158;295;Horgen;25636.08;11477.81;1096;645;354;;;;;
159;296;Illnau-Effretikon;19326.295;7753.71;762;448;246;;;;;
160;297;Bauma;5433.395;2159.755;213;125;69;;;;;
161;298;Wiesendangen;7352.31;1753.895;204;120;66;;;;;
162;301;Aarberg;5164.68;3206.74;285;168;92;;;;;
163;302;Bargen (BE);1142.875;468.3;46;27;15;;;;;
164;303;Grossaffoltern;3379.565;783.845;92;54;30;;;;;
165;304;Kallnach;2457.46;1186.36;111;65;36;;;;;
166;305;Kappelen;1576.61;656.735;64;38;21;;;;;
167;306;Lyss;17310.375;9471.925;863;508;279;;;;;
168;307;Meikirch;2757.395;565.305;70;41;23;;;;;
169;309;Radelfingen;1435.005;294.36;36;21;12;;;;;
170;310;Rapperswil (BE);2854.4;963.36;100;59;32;;;;;
171;311;Schüpfen;4206.895;1499.675;152;90;49;;;;;
172;312;Seedorf (BE);3438.66;1362.53;134;79;43;;;;;
173;321;Aarwangen;5151.3;1776.195;182;107;59;;;;;
174;322;Auswil;490.6;156.1;16;10;5;;;;;
175;323;Bannwil;737.015;265.37;27;16;9;;;;;
176;324;Bleienbach;794.995;666.77;56;33;18;;;;;
177;325;Busswil bei Melchnau;201.815;53.52;6;4;2;;;;;
178;326;Gondiswil;811.72;274.29;28;17;9;;;;;
179;329;Langenthal;17913.59;14081.335;1199;705;388;;;;;
180;331;Lotzwil;2930.22;994.58;103;60;33;;;;;
181;332;Madiswil;3651.625;1431.66;142;83;46;;;;;
182;333;Melchnau;1660.235;772.695;73;43;24;;;;;
183;335;Oeschenbach;246.415;133.8;12;7;4;;;;;
184;336;Reisiswil;194.01;63.555;7;4;2;;;;;
